Phrase,Freq,Country,#hashtag
withdrawal agreement,1250,uk,brexit
mosques,1248,,islam
yorkshire,1247,uk,
rachel maddow,1241,usa,left-media
bolton,1239,usa,republican
indiana,1239,usa,
house republicans,1238,usa,republican
kavanaugh,1234,usa,republican
george nader,1232,usa,child-abuse
guam,1231,usa,fp-southamerica
bolivia,1230,usa,fp-southamerica
rod rosenstein,1227,usa,justice
massachusetts,1224,usa,
duke,1221,usa,
norway,1214,norway,norway
susan collins,1210,usa,republican
riot,1209,,protest
denmark,1207,denmark,denmark
russians,1200,eu,
commonwealth,1197,uk,
guatemala,1185,usa,fp-southamerica
kennedy,1183,usa,democrat
ford,1181,usa,
nazi,1180,,nazism
security council,1172,usa,intelligence
arabia,1169,usa,fp-saudi
saudis,1169,usa,fp-saudi
greens,1166,,cc
owen jones,1165,uk,journalist
islamists,1157,,islam
gates,1153,usa,republican
obama-era,1135,usa,democrat
alex jones,1134,usa,far-right
thatcher,1133,uk,conservative
nas pensacola,1132,usa,
michael atkinson,1122,usa,justice
barron trump,1121,usa,trump
beijing,1118,usa,fp-china
franklin graham,1115,usa,evangelical
islamic,1115,,islam
juan williams,1111,usa,cons-media
mike pompeo,1107,usa,dos
geraldo,1100,usa,media
jihadists,1100,,terrorism
labour government,1092,uk,labour
jay sekulow,1092,usa,cons-media
hate crime,1090,,hate-crime
rome,1085,italy,italy
cuomo,1084,usa,democrat
gina miller,1080,uk,activist 
campaign trail,1072,usa,elections
cdc,1072,usa,health
gitmo,1072,usa,terrorism
temperatures,1071,,cc
clive lewis,1069,uk,labour
feinstein,1069,usa,democrat
belgium,1063,eu,belgium
impeachment witnesses,1060,usa,impeachment
house impeachment managers,1060,usa,impeachment
mccain,1060,usa,republican
page fisa,1059,usa,fbi
liverpool,1058,uk,
malarkey,1058,usa,
sean hannity,1056,usa,cons-media
babylon,1053,usa,
vladimir putin,1053,,russia
michael moore,1051,usa,left-media
john roberts,1049,usa,justice
impeachment vote,1038,usa,impeachment
sturgeon,1030,uk,snp
temperature,1029,,cc
democrat party,1026,usa,democrat
senate republicans,1025,usa,republican
election campaign,1023,usa,elections
gaddafi,1022,,fp-libya
apartheid,1020,,fp-israel
goldman,1017,usa,
u.s,1016,usa,
bloke,1012,uk,
#trump,1012,usa,trump
antisemite,1011,,jews
centrists,1010,usa,
coup update,1001,usa,
states senate,1000,usa,
moscow,1000,,russia
ig report,1000,usa,
ge2019,1000,uk,
brexitbetrayal,1000,uk,
hamilton,1000,usa,
meps,1000,uk,
stockholm,999,sweden,sweden
charlottesville,999,usa,
chuck,994,usa,democrat
rochdale,992,uk,
nasa,989,usa,nasa
john ratcliffe,986,usa,republican
hrh,985,uk,
meghan mccain,983,usa,republican
impunity,983,usa,
qaeda,981,,terrorism
netherlands,980,netherlands,netherlands
comey,978,usa,fbi
stone,977,usa,republican
ranchers,977,usa,
crown,976,uk,royalty
memorial,976,usa,
bruce ohr,974,usa,
d.c.,971,usa,
defamation lawsuit,966,usa,
impeachment pens,962,usa,impeachment
politico,962,usa,media
greg abbott,961,usa,republican
climate emergency,961,,cc
reza aslan,958,usa,islam
van jones,958,usa,left-media
brett kavanaugh,957,usa,republican
smollett,957,usa,
poll numbers,955,usa,elections
nh,954,usa,
cali,953,usa,
alexa,952,usa,
cipollone,947,usa,
clint eastwood,946,usa,
vatican,945,eu,catholics
inspector generals,945,usa,
asylum seekers,943,usa,immigration 
brooklyn,942,usa,
oprah,942,usa,
george washington,941,usa,
impeachment circus,940,usa,impeachment
bureaucracy,936,usa,
refuge,935,usa,immigration 
homeland,935,usa,
louisiana,935,usa,
campaign manager,929,usa,elections
departure,929,usa,
dog-faced pony soldier,929,usa,
hungary,927,hungary,hungary
voter registration,922,usa,elections
ruth bader ginsburg,922,usa,justice
nc,922,usa,
tory party,920,uk,conservative
kyle,920,usa,republican
alexandra,918,usa,democrat
labour mps,917,uk,labour
john mcdonnell,916,uk,labour
rowling,915,uk,author
drug cartels,914,,crime
mexican,913,usa,fp-mexico
mark meadows,910,usa,republican
brad pitt,908,usa,actor
anderson cooper,908,usa,left-media
rashida tlaib,906,usa,democrat
jim acosta,906,usa,left-media
stanford,904,usa,
senate majority leader,903,usa,
trey,901,usa,
amy klobuchar,897,usa,democrat
republican,892,usa,republican
ronald reagan,892,usa,republican
maryland,891,usa,
sf,891,usa,
immigration fraud,890,usa,immigration 
angela rayner,889,uk,labour
kanye,887,usa,
extradition,886,usa,immigration 
candidate trump,886,usa,trump
dallas,885,usa,
evangelicals,883,usa,evangelical
smear campaign,882,usa,elections
sanctuary policies,881,usa,immigration 
alaska,877,usa,
senate democrats,875,usa,democrat
buckingham,872,uk,royalty
turley,870,usa,
sacramento,867,usa,
collin peterson,866,usa,democrat
catholics,865,eu,catholics
hank johnson,863,usa,democrat
robert mueller,862,usa,fbi
withdrawal agreement bill,861,eu,brexit
gregory timm,860,usa,terrorism
house counsel,858,usa,
murdoch,854,usa,cons-media
nrc,854,usa,
hillary clintons,850,usa,democrat
britons,848,uk,
climate refugees,847,,cc
defense bill,845,usa,defense
nra,839,usa,gun control
scott morrison,835,uk,fp-australia
finland,832,finland,finland
dime,832,usa,
modi,832,,fp-india
taylor swift,831,usa,singer
state sponsor,830,usa,
nike,829,usa,
michelle williams,828,usa,actress
kathy griffin,825,usa,comedian 
